epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3089,2.32663,7.94863,1.52521,0.0541,0.07101,0.01071,0.00197,3.44494,5.09545,1.93036,0.00054,0.00054,0.00054
2,42.3735,2.02951,2.1564,1.41145,0.00038,0.0355,1e-05,0,4.28772,604.814,5.47829,0.00108911,0.00108911,0.00108911
3,73.8019,2.02061,1.79622,1.44109,0.001,0.05917,8e-05,1e-05,nan,nan,nan,0.00162713,0.00162713,0.00162713
4,85.4243,2.05534,1.58385,1.40546,0,0,0,0,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,104.917,2.05073,1.53902,1.44332,0.61229,0.2426,0.25988,0.0807,2.60649,2.68804,1.65808,0.0019208,0.0019208,0.0019208
6,158.413,1.98194,1.44531,1.42436,0.20734,0.21302,0.09309,0.01627,3.42729,2.99266,2.00907,0.001901,0.001901,0.001901
7,192.962,1.99227,1.46834,1.37688,0.05775,0.0355,0.0039,0.00052,3.48512,4.82687,2.13399,0.0018812,0.0018812,0.0018812
8,224.462,1.90636,1.41742,1.42584,0.01587,0.21302,0.00775,0.00165,2.90524,5.35926,1.82357,0.0018614,0.0018614,0.0018614
9,258.993,1.86623,1.26465,1.38269,0.37655,0.4142,0.30956,0.07724,2.84316,1.95426,1.86616,0.0018416,0.0018416,0.0018416
10,298.479,1.79309,1.1687,1.32819,0.0244,0.04142,0.00688,0.00131,3.03477,4.95025,1.78338,0.0018218,0.0018218,0.0018218
11,582.119,1.81039,1.09644,1.27549,0.68169,0.26627,0.32732,0.09202,2.90863,2.9826,1.68394,0.001802,0.001802,0.001802
