epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.597,2.22204,7.82533,1.44467,0.02833,0.25444,0.04443,0.01106,2.62969,5.05797,1.58336,0.000654545,0.000654545,0.000654545
2,1410.41,2.06917,2.11315,1.40626,0.00899,0.39645,0.10605,0.02781,3.0187,3.47654,1.83855,0.00119041,0.00119041,0.00119041
3,1703.86,2.12158,1.80391,1.42615,0.52482,0.35503,0.33866,0.09522,2.3902,2.28201,1.50091,0.00159428,0.00159428,0.00159428
4,1912.98,2.03469,1.66148,1.43316,0.01067,0.10059,0.00238,0.00053,3.74391,33.9971,2.67043,0.001406,0.001406,0.001406
5,2121.74,1.94345,1.50175,1.38544,0.58193,0.27219,0.26408,0.06077,3.10958,2.37345,1.90579,0.001208,0.001208,0.001208
6,2335.24,1.9554,1.32845,1.36146,0.11746,0.30769,0.07828,0.02073,2.4635,3.07003,1.55054,0.00101,0.00101,0.00101
7,2530.54,1.85881,1.2056,1.31948,0.2519,0.28402,0.11412,0.026,2.58175,3.10248,1.77005,0.000812,0.000812,0.000812
8,2738.51,1.8592,1.20844,1.32147,0.51959,0.26036,0.25748,0.05956,2.46534,2.49447,1.58188,0.000614,0.000614,0.000614
9,2949.79,1.76469,1.06728,1.29206,0.73398,0.42604,0.49062,0.13353,2.48408,1.99524,1.58975,0.000416,0.000416,0.000416
10,3148.3,1.69551,0.9785,1.26916,0.669,0.38272,0.43335,0.10543,2.7304,1.99573,1.69185,0.000218,0.000218,0.000218
