epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7594,2.11241,5.30748,1.42161,0.00707,0.0355,0.00381,0.00059,2.87494,19.4286,1.74982,0.00054,0.00054,0.00054
2,75.895,2.04345,1.97302,1.36603,0.00116,0.10651,0.00031,5e-05,3.58961,7.39451,2.74302,0.00107822,0.00107822,0.00107822
3,115.882,2.04548,1.64774,1.36356,0.00142,0.10651,0.00018,4e-05,3.90618,224.107,6.33186,0.00159426,0.00159426,0.00159426
4,159.329,2.0395,1.58597,1.46813,0.04399,0.10651,0.00826,0.00167,3.58035,10.6488,15.7408,0.0018812,0.0018812,0.0018812
5,211.595,2.04449,1.53379,1.45187,0.0881,0.05917,0.01427,0.0057,3.54508,4.3365,4.99423,0.0018416,0.0018416,0.0018416
6,264.116,1.95635,1.46814,1.44474,0.05621,0.10651,0.01986,0.00336,3.35634,4.43692,2.07403,0.001802,0.001802,0.001802
7,314.399,1.93683,1.36849,1.37461,0.00378,0.34911,0.00185,0.00032,3.64026,6.86781,2.03475,0.0017624,0.0017624,0.0017624
8,369.176,1.90871,1.39663,1.38731,0.06601,0.17751,0.0297,0.00641,3.18296,4.18557,1.8407,0.0017228,0.0017228,0.0017228
9,422.915,1.85015,1.31691,1.34377,0.56623,0.2549,0.25381,0.0485,3.31896,3.12248,2.08818,0.0016832,0.0016832,0.0016832
10,480.133,1.79345,1.15786,1.37388,0.53442,0.53846,0.4491,0.09506,2.96546,1.652,1.95894,0.0016436,0.0016436,0.0016436
11,539.361,1.88919,1.19584,1.31747,0.22691,0.24662,0.14289,0.03381,3.46086,2.48403,2.10224,0.001604,0.001604,0.001604
12,604.166,1.74287,1.11437,1.29799,0.25548,0.2071,0.12699,0.03095,2.76314,3.60047,1.75006,0.0015644,0.0015644,0.0015644
13,675.538,1.78323,1.09941,1.32067,0.42693,0.27219,0.24243,0.04504,3.62291,1.92994,2.43166,0.0015248,0.0015248,0.0015248
14,744.514,1.7448,1.11898,1.31344,0.23819,0.19527,0.09875,0.01677,3.80391,2.35094,2.51597,0.0014852,0.0014852,0.0014852
15,812.058,1.77292,1.03417,1.25763,0.46765,0.18715,0.18223,0.04733,2.90404,2.76111,1.93351,0.0014456,0.0014456,0.0014456
16,876.248,1.77683,1.04894,1.26094,0.00251,0.11834,0.00038,0.0001,2.79477,8.22607,1.77029,0.001406,0.001406,0.001406
17,941.052,1.73122,1.06654,1.29118,0.55476,0.26036,0.26871,0.06306,3.09667,1.95063,1.81592,0.0013664,0.0013664,0.0013664
18,1007.23,1.68788,1.00105,1.22742,0.71935,0.34911,0.33701,0.07493,3.34899,2.44012,1.92854,0.0013268,0.0013268,0.0013268
19,1069.48,1.59753,0.97833,1.25658,0.74915,0.35503,0.4275,0.11606,2.99959,1.88653,1.93638,0.0012872,0.0012872,0.0012872
20,1142.52,1.64909,1.01206,1.22103,0.22704,0.28402,0.14035,0.03053,3.63928,2.34388,2.28795,0.0012476,0.0012476,0.0012476
21,1212.76,1.64392,0.96266,1.24941,0.61993,0.52118,0.51084,0.13586,2.69683,1.73757,1.7302,0.001208,0.001208,0.001208
22,1274.32,1.61803,0.90226,1.18935,0.5452,0.44379,0.46342,0.14839,2.56073,2.14608,1.73291,0.0011684,0.0011684,0.0011684
23,1347.33,1.62654,0.95837,1.22628,0.58143,0.42604,0.44895,0.13102,2.32837,2.18987,1.54571,0.0011288,0.0011288,0.0011288
24,1413.17,1.58625,0.90223,1.20348,0.61792,0.3432,0.32055,0.06362,3.36445,2.09014,2.00436,0.0010892,0.0010892,0.0010892
25,1477.17,1.58569,0.8926,1.18237,0.1982,0.21302,0.08345,0.01578,3.91434,2.81135,2.19528,0.0010496,0.0010496,0.0010496
26,1547.66,1.56097,0.8889,1.18394,0.49386,0.33136,0.26795,0.06433,3.41281,2.32966,1.91142,0.00101,0.00101,0.00101
