epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.717,2.04673,6.28817,1.5525,0.03015,0.10059,0.01023,0.00339,2.23516,6.48283,1.53675,0.000654545,0.000654545,0.000654545
2,266.058,2.15803,2.19896,1.61673,0.00034,0.02959,1e-05,0,4.6245,1280.2,5.86663,0.00129505,0.00129505,0.00129505
3,384.569,2.18427,2.04343,1.71685,0.01716,0.18343,0.00616,0.00131,2.97035,53.0243,2.29538,0.00190916,0.00190916,0.00190916
4,502.283,2.08576,1.83116,1.63622,0.02221,0.08876,0.00544,0.00101,3.22106,5.22766,2.41559,0.0018812,0.0018812,0.0018812
5,623.446,2.03329,1.7122,1.62625,0.59078,0.20118,0.19225,0.03855,2.88524,3.25569,2.2791,0.0018416,0.0018416,0.0018416
6,742.622,2.05241,1.64453,1.68585,0.00015,0.00592,0,0,3.30011,89.7798,2.74127,0.001802,0.001802,0.001802
7,865.254,1.97747,1.56702,1.58639,0.38392,0.15385,0.10256,0.02179,2.85115,3.70086,2.24192,0.0017624,0.0017624,0.0017624
8,996.412,1.9921,1.53578,1.64982,0.21672,0.2071,0.08339,0.01421,3.074,2.52183,2.36591,0.0017228,0.0017228,0.0017228
9,1131.86,1.92822,1.48964,1.57511,0.39602,0.13018,0.09332,0.0181,3.20623,2.63463,2.31623,0.0016832,0.0016832,0.0016832
10,1263.04,1.88593,1.37687,1.55451,0.2499,0.11834,0.07202,0.01289,3.31179,2.79679,2.39462,0.0016436,0.0016436,0.0016436
11,1389.8,1.84395,1.29139,1.49676,0.51773,0.46372,0.41998,0.10347,2.90448,1.71565,2.31052,0.001604,0.001604,0.001604
12,1525.45,1.84634,1.27645,1.49787,0.30552,0.24852,0.13537,0.0359,2.8462,2.1639,2.12581,0.0015644,0.0015644,0.0015644
13,1653.91,1.85941,1.26609,1.53593,0.47623,0.4142,0.36908,0.08835,2.78029,2.15242,2.15102,0.0015248,0.0015248,0.0015248
