epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.558,2.09906,2.67187,1.35504,0.077,0.10059,0.01714,0.00508,2.56924,5.59503,1.43214,0.00054,0.00054,0.00054
2,302.457,2.16738,2.06439,1.53976,0,0,0,0,5.10416,166502,444.521,0.00107822,0.00107822,0.00107822
3,448.028,2.11799,2.04089,1.49952,0.00072,0.01775,1e-05,0,5.30317,103390,356.766,0.00159426,0.00159426,0.00159426
4,628.392,2.24127,2.28989,1.58058,0,0,0,0,1.00399,7.50364e+06,21518.6,0.0018812,0.0018812,0.0018812
5,995.063,2.13989,1.87497,1.50415,0,0,0,0,0,13.3107,0,0.0018416,0.0018416,0.0018416
6,1091.89,2.20698,1.85056,1.58631,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,1214.87,2.11265,1.60009,1.4501,0.00047,0.00592,0,0,4.08363,21.7772,10.4674,0.0017624,0.0017624,0.0017624
8,1347.67,2.0375,1.56404,1.46478,0.366,0.05325,0.04798,0.01297,3.35703,4.02156,2.2001,0.0017228,0.0017228,0.0017228
9,1477.61,2.03595,1.52805,1.40757,0.34006,0.10651,0.05557,0.01345,3.36394,4.21227,2.26023,0.0016832,0.0016832,0.0016832
10,1605.61,1.98875,1.39997,1.44371,0.44096,0.08876,0.07002,0.01323,3.26184,2.54682,2.22147,0.0016436,0.0016436,0.0016436
11,1739.05,1.9241,1.35481,1.4298,0.03962,0.05325,0.00533,0.00134,3.01867,6.30308,1.93017,0.001604,0.001604,0.001604
12,1873.67,1.90191,1.32866,1.35747,0.09369,0.05325,0.00864,0.00182,3.08108,5.13923,2.16919,0.0015644,0.0015644,0.0015644
13,2009.86,1.89976,1.2499,1.42603,0.29431,0.10367,0.06647,0.01566,2.76939,2.63018,1.85436,0.0015248,0.0015248,0.0015248
14,2144.08,1.8934,1.29224,1.43442,0.00841,0.02367,0.00045,0.00011,2.72696,7.45731,1.76476,0.0014852,0.0014852,0.0014852
15,2281.45,1.80398,1.15565,1.3227,0.43099,0.12426,0.09739,0.02541,3.08162,2.29872,2.04894,0.0014456,0.0014456,0.0014456
16,2415.81,1.77376,1.10143,1.34144,0.14345,0.10651,0.06589,0.01139,3.08831,3.40946,2.05503,0.001406,0.001406,0.001406
17,2548.97,1.79205,1.09407,1.29905,0.62958,0.39645,0.40512,0.0992,3.05004,1.76724,2.04511,0.0013664,0.0013664,0.0013664
18,2691.69,1.76682,1.03647,1.29642,0.05281,0.07101,0.01208,0.00258,3.44894,4.41338,2.14856,0.0013268,0.0013268,0.0013268
