epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1286,2.1907,3.62359,1.38714,0.00894,0.34911,0.00706,0.00177,2.66825,4.05016,1.2935,0.00054,0.00054,0.00054
2,106.863,2.04583,2.43765,1.32779,0.00424,0.08284,0.00037,7e-05,2.8349,4.25514,1.52588,0.00107822,0.00107822,0.00107822
3,148.666,2.06072,2.26833,1.34123,0.00417,0.08876,0.02767,0.00628,2.87016,3.73867,1.68532,0.00159426,0.00159426,0.00159426
4,192.695,1.98532,2.12329,1.34308,0.0003,0.00592,0,0,3.30637,16.4984,2.66867,0.0018812,0.0018812,0.0018812
5,235.725,1.91706,1.92298,1.30552,0.50556,0.0355,0.0432,0.0123,2.63241,3.23121,1.54441,0.0018416,0.0018416,0.0018416
6,278.244,1.93378,1.76296,1.31918,0.47896,0.10882,0.11072,0.02449,2.95826,2.59355,1.59791,0.001802,0.001802,0.001802
7,322.824,1.92505,1.6507,1.26757,0.37502,0.10651,0.08324,0.0187,3.12603,2.41929,1.83351,0.0017624,0.0017624,0.0017624
8,371.371,1.83707,1.54918,1.26676,0.32719,0.08284,0.06533,0.01484,2.99375,2.66066,1.83657,0.0017228,0.0017228,0.0017228
9,413.908,1.82553,1.42973,1.2392,0.26823,0.07692,0.03521,0.00806,3.2099,2.3823,2.06238,0.0016832,0.0016832,0.0016832
10,460.741,1.82785,1.36384,1.27142,0.6049,0.13018,0.12143,0.03222,2.67872,2.43243,1.64763,0.0016436,0.0016436,0.0016436
11,511.156,1.81383,1.29462,1.25289,0.39643,0.05325,0.05815,0.01013,3.22296,3.48403,1.6866,0.001604,0.001604,0.001604
12,569.897,1.76938,1.28941,1.19845,0.65324,0.47337,0.50115,0.12461,2.68284,1.90573,1.61584,0.0015644,0.0015644,0.0015644
13,622.568,1.72293,1.21841,1.22729,0.48791,0.20118,0.17004,0.03459,3.22148,2.00782,2.00619,0.0015248,0.0015248,0.0015248
14,673.802,1.73688,1.20652,1.2597,0.72699,0.46746,0.48794,0.12455,2.80597,1.80885,1.81072,0.0014852,0.0014852,0.0014852
15,723.218,1.6991,1.1371,1.18228,0.55244,0.3652,0.29455,0.08966,2.81662,1.95996,1.85201,0.0014456,0.0014456,0.0014456
16,777.123,1.66208,1.11847,1.17431,0.57753,0.4142,0.42542,0.12273,2.81229,1.86397,1.85815,0.001406,0.001406,0.001406
17,828.502,1.6771,1.11974,1.16656,0.46451,0.38497,0.32323,0.07526,2.74083,2.2595,1.75845,0.0013664,0.0013664,0.0013664
18,876.952,1.64757,1.03587,1.16461,0.56335,0.29586,0.27476,0.0561,3.08394,2.08381,1.75589,0.0013268,0.0013268,0.0013268
19,926.389,1.63238,1.0393,1.15067,0.45688,0.36686,0.27302,0.05931,3.18554,2.11354,1.93912,0.0012872,0.0012872,0.0012872
20,963.774,1.62921,1.00314,1.14202,0.45086,0.33136,0.29209,0.06353,3.09914,2.4183,1.75388,0.0012476,0.0012476,0.0012476
21,1004.88,1.62334,0.99743,1.1257,0.62937,0.44379,0.50021,0.16639,2.6207,1.73946,1.57374,0.001208,0.001208,0.001208
22,1038.43,1.59103,1.00692,1.13598,0.59467,0.39645,0.38198,0.1075,2.9649,2.14328,1.8501,0.0011684,0.0011684,0.0011684
23,1075.17,1.58247,0.97965,1.13486,0.56556,0.46746,0.46806,0.14777,2.79181,1.78836,1.72747,0.0011288,0.0011288,0.0011288
24,1107.07,1.58664,0.91736,1.10979,0.58672,0.45562,0.4547,0.13512,2.70881,1.79445,1.65457,0.0010892,0.0010892,0.0010892
25,1144.35,1.54702,0.95396,1.11888,0.59456,0.27811,0.25763,0.06204,3.03374,2.48277,1.50939,0.0010496,0.0010496,0.0010496
26,1179.86,1.52323,0.93308,1.12892,0.72529,0.43195,0.47452,0.15073,2.64132,1.9244,1.58645,0.00101,0.00101,0.00101
27,1214.73,1.56054,0.92114,1.13255,0.55797,0.4497,0.41965,0.13864,2.72876,1.97754,1.62752,0.0009704,0.0009704,0.0009704
28,1247.69,1.5543,0.90999,1.11623,0.64783,0.33728,0.36617,0.09183,3.00781,2.2214,1.746,0.0009308,0.0009308,0.0009308
29,1283.2,1.50777,0.90701,1.10732,0.77562,0.38462,0.48097,0.15484,2.67963,1.74483,1.75396,0.0008912,0.0008912,0.0008912
30,1321.92,1.50558,0.91748,1.09637,0.68579,0.49704,0.50375,0.15214,2.68428,1.6262,1.71214,0.0008516,0.0008516,0.0008516
31,1357.22,1.48887,0.89886,1.10673,0.5837,0.47337,0.40038,0.13731,2.61537,1.8688,1.67905,0.000812,0.000812,0.000812
32,1387.26,1.56377,0.87473,1.10123,0.7047,0.43787,0.47103,0.17644,2.59997,1.8639,1.61109,0.0007724,0.0007724,0.0007724
33,1422.84,1.48216,0.85964,1.09484,0.76838,0.41223,0.48402,0.16401,2.58524,2.16889,1.51655,0.0007328,0.0007328,0.0007328
34,1457.73,1.44161,0.83791,1.08409,0.67599,0.49112,0.50454,0.16395,2.63602,1.90888,1.66848,0.0006932,0.0006932,0.0006932
35,1491.92,1.40919,0.82226,1.06551,0.65783,0.48521,0.45923,0.14763,2.61541,1.78358,1.64201,0.0006536,0.0006536,0.0006536
36,1524.97,1.41488,0.8035,1.05778,0.67991,0.49112,0.47213,0.15084,2.74055,1.82452,1.56622,0.000614,0.000614,0.000614
37,1557.2,1.46141,0.82358,1.0431,0.68654,0.44065,0.47012,0.14736,2.59424,1.97671,1.42482,0.0005744,0.0005744,0.0005744
38,1589.5,1.46846,0.81961,1.08192,0.80531,0.48951,0.54164,0.18489,2.51477,1.72309,1.5787,0.0005348,0.0005348,0.0005348
39,1620.99,1.43679,0.81535,1.04311,0.79718,0.48521,0.52372,0.17991,2.45129,1.95419,1.48632,0.0004952,0.0004952,0.0004952
40,1654.33,1.36886,0.78185,1.0339,0.72633,0.45542,0.48947,0.15725,2.50474,2.01249,1.43342,0.0004556,0.0004556,0.0004556
41,1682.85,1.38663,0.7841,1.04375,0.7775,0.46746,0.52992,0.16138,2.47958,1.98372,1.3923,0.000416,0.000416,0.000416
42,1713.07,1.41016,0.75713,1.05118,0.70366,0.51479,0.53771,0.17759,2.61971,1.7759,1.59786,0.0003764,0.0003764,0.0003764
43,1742.47,1.35562,0.72185,1.05927,0.68194,0.50748,0.56731,0.18502,2.57125,1.77094,1.5412,0.0003368,0.0003368,0.0003368
44,1770.69,1.38321,0.7311,1.04446,0.69314,0.48118,0.53616,0.16644,2.69626,1.80116,1.62212,0.0002972,0.0002972,0.0002972
45,1799.5,1.36518,0.73039,1.04904,0.78665,0.42012,0.49838,0.17104,2.63262,1.82673,1.64458,0.0002576,0.0002576,0.0002576
46,1828.73,1.32224,0.72119,1.03619,0.72068,0.44379,0.46555,0.15941,2.69562,1.9231,1.62381,0.000218,0.000218,0.000218
47,1858.18,1.35089,0.7139,1.03174,0.75082,0.49112,0.53054,0.1738,2.68956,1.7398,1.66951,0.0001784,0.0001784,0.0001784
48,1889.41,1.29788,0.69099,1.03885,0.7701,0.47337,0.54396,0.17337,2.63757,1.81462,1.6223,0.0001388,0.0001388,0.0001388
49,1918.39,1.27781,0.67584,1.01977,0.76788,0.4698,0.54475,0.1756,2.65386,1.80457,1.6288,9.92e-05,9.92e-05,9.92e-05
50,1950.71,1.27078,0.67892,1.01271,0.80459,0.46746,0.54884,0.17471,2.68573,1.82788,1.64088,5.96e-05,5.96e-05,5.96e-05
