epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9212,1.98172,5.51759,1.35979,0.00109,0.10059,0.00028,6e-05,2.69597,5.98211,1.6213,0.00054,0.00054,0.00054
2,77.4627,1.70978,1.79326,1.24167,9e-05,0.00592,0,0,3.70939,78.8343,3.17355,0.00107822,0.00107822,0.00107822
3,116.038,1.58369,1.37345,1.17393,0.04562,0.08284,0.01572,0.00401,3.05639,3.46105,2.34113,0.00159426,0.00159426,0.00159426
4,158.765,1.52493,1.19633,1.15796,0.0316,0.07101,0.01028,0.00325,3.17045,4.25701,2.55323,0.0018812,0.0018812,0.0018812
5,203.674,1.47793,1.08756,1.13492,0.00149,0.13018,0.0002,7e-05,3.62502,5.91892,3.50212,0.0018416,0.0018416,0.0018416
6,251.941,1.35672,0.8995,1.09221,0.18057,0.14201,0.06479,0.01782,3.23856,3.14943,2.25765,0.001802,0.001802,0.001802
7,300.974,1.25379,0.74814,1.03433,0.3511,0.23077,0.17946,0.03473,2.96724,3.13181,1.88481,0.0017624,0.0017624,0.0017624
8,350.195,1.14674,0.67843,1.00234,0.03829,0.06509,0.00823,0.0014,3.48506,4.34483,2.22187,0.0017228,0.0017228,0.0017228
9,399.224,1.08603,0.69599,0.98018,0.02822,0.08876,0.00601,0.00116,3.09071,4.68596,2.04512,0.0016832,0.0016832,0.0016832
10,455.065,0.99982,0.59784,0.9378,0.05842,0.05325,0.01279,0.00305,3.237,5.12743,2.17074,0.0016436,0.0016436,0.0016436
11,510.957,0.96121,0.55755,0.93112,0.29192,0.07692,0.06284,0.01392,3.40297,3.70416,2.24481,0.001604,0.001604,0.001604
12,564.091,0.85999,0.51159,0.89544,0.40786,0.19564,0.17671,0.0405,3.03669,3.27252,2.16119,0.0015644,0.0015644,0.0015644
13,617.89,0.81825,0.48594,0.88631,0.2759,0.20118,0.10419,0.02358,3.2439,3.31491,2.19539,0.0015248,0.0015248,0.0015248
14,667.86,0.7938,0.46183,0.87918,0.45263,0.1716,0.14201,0.03063,3.26891,3.69459,2.14212,0.0014852,0.0014852,0.0014852
15,716.083,0.75333,0.44214,0.85979,0.49655,0.30769,0.28266,0.07142,3.15304,2.53189,2.18182,0.0014456,0.0014456,0.0014456
16,763.43,0.68172,0.41326,0.84543,0.3651,0.21302,0.19575,0.04642,2.91394,3.57062,1.95721,0.001406,0.001406,0.001406
17,812.108,0.65194,0.39108,0.8368,0.39503,0.18343,0.14124,0.02674,3.14485,4.30875,2.02271,0.0013664,0.0013664,0.0013664
18,858.527,0.61005,0.37186,0.82553,0.30345,0.26036,0.17211,0.03872,3.02811,3.89679,1.9388,0.0013268,0.0013268,0.0013268
19,905.078,0.55533,0.34981,0.82089,0.32231,0.23077,0.15244,0.03511,2.88188,4.76394,1.9126,0.0012872,0.0012872,0.0012872
20,951.863,0.50926,0.33094,0.80902,0.24731,0.27219,0.17059,0.03942,3.15155,3.96821,1.99239,0.0012476,0.0012476,0.0012476
21,998.722,0.47193,0.31524,0.80527,0.50934,0.18935,0.18386,0.03622,3.14445,3.61713,2.07553,0.001208,0.001208,0.001208
22,1045.02,0.46092,0.30317,0.79989,0.14716,0.26036,0.09215,0.02241,3.00224,4.17022,2.00376,0.0011684,0.0011684,0.0011684
23,1094.58,0.43133,0.28865,0.79265,0.61693,0.21893,0.22057,0.05752,2.93124,3.81043,1.96993,0.0011288,0.0011288,0.0011288
24,1140.81,0.41124,0.27577,0.78921,0.48721,0.15385,0.15175,0.03354,2.90671,4.43345,1.96921,0.0010892,0.0010892,0.0010892
25,1184.92,0.39584,0.26397,0.78556,0.31973,0.27811,0.17384,0.03778,3.05136,4.17683,2.10983,0.0010496,0.0010496,0.0010496
26,1229.71,0.36017,0.24888,0.7835,0.28758,0.26036,0.16762,0.03768,3.03216,4.1536,2.0076,0.00101,0.00101,0.00101
27,1274.47,0.35586,0.24909,0.78351,0.35484,0.26036,0.20045,0.04581,2.92326,4.26396,1.94487,0.0009704,0.0009704,0.0009704
28,1320.21,0.31905,0.23302,0.77907,0.48387,0.26627,0.21185,0.04916,2.91824,4.29649,1.9807,0.0009308,0.0009308,0.0009308
29,1364.82,0.31225,0.23036,0.77539,0.3209,0.25444,0.18786,0.04361,2.95133,4.06878,1.985,0.0008912,0.0008912,0.0008912
30,1409.6,0.29748,0.2195,0.7703,0.36601,0.33136,0.24634,0.06619,2.81894,3.76046,1.91127,0.0008516,0.0008516,0.0008516
31,1454.07,0.27409,0.20634,0.76717,0.40777,0.24852,0.17697,0.03794,3.01551,4.42813,2.00382,0.000812,0.000812,0.000812
32,1499.94,0.26757,0.20116,0.76697,0.42,0.24852,0.19359,0.04979,2.92445,4.23259,1.90545,0.0007724,0.0007724,0.0007724
33,1545.22,0.23707,0.18617,0.76612,0.48387,0.26627,0.20347,0.05802,2.89772,4.37376,1.89984,0.0007328,0.0007328,0.0007328
34,1591.42,0.22638,0.17964,0.7617,0.3719,0.26627,0.20588,0.05256,2.90237,4.48196,1.94943,0.0006932,0.0006932,0.0006932
35,1636.28,0.22457,0.17393,0.75992,0.49495,0.28994,0.22768,0.06058,2.8058,4.289,1.96231,0.0006536,0.0006536,0.0006536
36,1680.9,0.20501,0.16585,0.76398,0.41509,0.26036,0.1958,0.04975,2.89321,4.41118,1.96023,0.000614,0.000614,0.000614
37,1727.19,0.19444,0.16089,0.75277,0.47423,0.27219,0.21245,0.05486,2.82989,4.29509,1.91612,0.0005744,0.0005744,0.0005744
38,1772.55,0.19022,0.15621,0.75761,0.525,0.24852,0.19572,0.04858,2.88374,4.45491,1.91426,0.0005348,0.0005348,0.0005348
39,1817.2,0.18198,0.15124,0.76072,0.52174,0.28402,0.22856,0.05756,2.85569,4.29473,1.91647,0.0004952,0.0004952,0.0004952
40,1862.08,0.1678,0.1434,0.75529,0.48864,0.25444,0.19925,0.04935,2.88664,4.49591,1.94647,0.0004556,0.0004556,0.0004556
41,1907.19,0.15975,0.13806,0.75878,0.44762,0.27811,0.2163,0.05364,2.87599,4.29777,1.90989,0.000416,0.000416,0.000416
42,1953.57,0.15614,0.13475,0.75438,0.48276,0.24852,0.20027,0.04667,2.94697,4.56223,1.97146,0.0003764,0.0003764,0.0003764
